,high
2001-01-16 09:00:00,50.58525085449219
2001-01-17 09:00:00,51.58709716796875
2001-01-18 09:00:00,51.837677001953125
2001-01-19 09:00:00,51.0864143371582
2001-01-22 09:00:00,51.0864143371582
2001-01-23 09:00:00,51.0864143371582
2001-01-24 09:00:00,51.0864143371582
2001-01-25 09:00:00,51.0864143371582
2001-01-26 09:00:00,51.0864143371582
2001-01-29 09:00:00,50.83583068847656
2001-01-30 09:00:00,49.583885192871094
2001-01-31 09:00:00,52.83904266357422
2001-02-01 09:00:00,52.83904266357422
2001-02-02 09:00:00,52.33835983276367
2001-02-05 09:00:00,50.08456802368164
2001-02-06 09:00:00,50.335147857666016
2001-02-07 09:00:00,47.07951354980469
2001-02-08 09:00:00,45.82756805419922
2001-02-09 09:00:00,46.57883071899414
2001-02-12 09:00:00,46.328250885009766
2001-02-13 09:00:00,49.08272171020508
2001-02-14 09:00:00,49.583885192871094
2001-02-15 09:00:00,50.335147857666016
2001-02-16 09:00:00,50.58525085449219
2001-02-19 09:00:00,48.5820426940918
2001-02-20 09:00:00,49.08272171020508
2001-02-21 09:00:00,49.08272171020508
2001-02-22 09:00:00,48.331459045410156
2001-02-23 09:00:00,46.57883071899414
2001-02-26 09:00:00,45.57698440551758
2001-02-27 09:00:00,45.57698440551758
2001-02-28 09:00:00,45.07630157470703
2001-03-01 09:00:00,43.57377624511719
2001-03-02 09:00:00,42.571929931640625
2001-03-05 09:00:00,42.571929931640625
2001-03-06 09:00:00,45.07630157470703
2001-03-07 09:00:00,46.57883071899414
2001-03-08 09:00:00,46.077667236328125
2001-03-09 09:00:00,44.074459075927734
2001-03-12 09:00:00,43.07261276245117
2001-03-13 09:00:00,43.57377624511719
2001-03-14 09:00:00,43.57377624511719
2001-03-15 09:00:00,44.32503890991211
2001-03-16 09:00:00,44.57514190673828
2001-03-19 09:00:00,44.32503890991211
2001-03-20 09:00:00,44.074459075927734
2001-03-21 09:00:00,42.822513580322266
2001-03-22 09:00:00,43.57377624511719
2001-03-23 09:00:00,45.3264045715332
2001-03-26 09:00:00,45.57698440551758
2001-03-27 09:00:00,45.82756805419922
2001-03-28 09:00:00,45.07630157470703
2001-03-29 09:00:00,44.57514190673828
2001-03-30 09:00:00,44.57514190673828
2001-04-02 09:00:00,44.074459075927734
2001-04-03 09:00:00,41.57008743286133
2001-04-04 09:00:00,40.318138122558594
2001-04-05 09:00:00,39.81745529174805
2001-04-06 09:00:00,42.571929931640625
2001-04-09 09:00:00,40.568721771240234
2001-04-10 09:00:00,40.318138122558594
2001-04-11 09:00:00,41.57008743286133
2001-04-12 09:00:00,43.57377624511719
2001-04-13 09:00:00,43.823875427246094
2001-04-16 09:00:00,42.571929931640625
2001-04-17 09:00:00,42.07124710083008
2001-04-18 09:00:00,42.571929931640625
2001-04-19 09:00:00,45.3264045715332
2001-04-20 09:00:00,45.82756805419922
2001-04-23 09:00:00,45.3264045715332
2001-04-24 09:00:00,44.57514190673828
2001-04-25 09:00:00,44.57514190673828
2001-04-26 09:00:00,44.57514190673828
2001-04-27 09:00:00,44.57514190673828
2001-04-30 09:00:00,45.82756805419922
2001-05-01 09:00:00,45.57698440551758
2001-05-02 09:00:00,48.5820426940918
2001-05-03 09:00:00,48.331459045410156
2001-05-04 09:00:00,48.08135986328125
2001-05-07 09:00:00,48.5820426940918
2001-05-08 09:00:00,47.83077621459961
2001-05-09 09:00:00,48.08135986328125
2001-05-10 09:00:00,47.07951354980469
2001-05-11 09:00:00,47.07951354980469
2001-05-14 09:00:00,46.57883071899414
2001-05-15 09:00:00,45.3264045715332
2001-05-16 09:00:00,44.32503890991211
2001-05-17 09:00:00,45.07630157470703
2001-05-18 09:00:00,45.82756805419922
2001-05-21 09:00:00,45.07630157470703
2001-05-22 09:00:00,45.57698440551758
2001-05-23 09:00:00,47.33009338378906
2001-05-24 09:00:00,47.33009338378906
2001-05-25 09:00:00,47.580196380615234
2001-05-28 09:00:00,47.07951354980469
2001-05-29 09:00:00,47.07951354980469
2001-05-30 09:00:00,46.57883071899414
2001-05-31 09:00:00,45.07630157470703
2001-06-01 09:00:00,45.57698440551758
2001-06-04 09:00:00,45.57698440551758
2001-06-05 09:00:00,45.57698440551758
2001-06-06 09:00:00,47.07951354980469
2001-06-07 09:00:00,46.82893371582031
2001-06-08 09:00:00,48.83262252807617
2001-06-11 09:00:00,49.583885192871094
2001-06-12 09:00:00,49.33330535888672
2001-06-13 09:00:00,48.5820426940918
2001-06-14 09:00:00,47.07951354980469
2001-06-15 09:00:00,46.82893371582031
2001-06-18 09:00:00,46.82893371582031
2001-06-19 09:00:00,46.077667236328125
2001-06-20 09:00:00,45.3264045715332
2001-06-21 09:00:00,44.57514190673828
2001-06-22 09:00:00,43.57377624511719
2001-06-25 09:00:00,42.571929931640625
2001-06-26 09:00:00,44.17430877685547
2001-06-27 09:00:00,44.87593460083008
2001-06-28 09:00:00,44.52511978149414
2001-06-29 09:00:00,44.87593460083008
2001-07-02 09:00:00,46.97947311401367
2001-07-03 09:00:00,47.68042755126953
2001-07-04 09:00:00,46.2778434753418
2001-07-05 09:00:00,46.2778434753418
2001-07-06 09:00:00,45.22607421875
2001-07-09 09:00:00,43.473350524902344
2001-07-10 09:00:00,43.82416534423828
2001-07-11 09:00:00,43.82416534423828
2001-07-12 09:00:00,44.52511978149414
2001-07-13 09:00:00,45.927703857421875
2001-07-16 09:00:00,44.87593460083008
2001-07-17 09:00:00,44.17430877685547
2001-07-18 09:00:00,43.82416534423828
2001-07-19 09:00:00,43.473350524902344
2001-07-20 09:00:00,43.473350524902344
2001-07-23 09:00:00,42.42158126831055
2001-07-24 09:00:00,40.31804275512695
2001-07-25 09:00:00,41.72062683105469
2001-07-26 09:00:00,42.772396087646484
2001-07-27 09:00:00,45.22607421875
2001-07-30 09:00:00,44.52511978149414
2001-07-31 09:00:00,46.2778434753418
2001-08-01 09:00:00,48.03124237060547
2001-08-02 09:00:00,49.783966064453125
2001-08-03 09:00:00,49.4338264465332
2001-08-06 09:00:00,48.03124237060547
2001-08-07 09:00:00,46.97947311401367
2001-08-08 09:00:00,47.329612731933594
2001-08-09 09:00:00,46.2778434753418
2001-08-10 09:00:00,48.03124237060547
2001-08-13 09:00:00,47.68042755126953
2001-08-14 09:00:00,48.381385803222656
2001-08-15 09:00:00,48.73219680786133
2001-08-16 09:00:00,48.03124237060547
2001-08-17 09:00:00,48.03124237060547
2001-08-20 09:00:00,46.2778434753418
2001-08-21 09:00:00,46.628658294677734
2001-08-22 09:00:00,45.22607421875
2001-08-23 09:00:00,43.82416534423828
2001-08-24 09:00:00,42.772396087646484
2001-08-27 09:00:00,45.22607421875
2001-08-28 09:00:00,44.87593460083008
2001-08-29 09:00:00,45.22607421875
2001-08-30 09:00:00,44.87593460083008
2001-08-31 09:00:00,45.22607421875
2001-09-03 09:00:00,45.22607421875
2001-09-04 09:00:00,46.2778434753418
2001-09-05 09:00:00,45.927703857421875
2001-09-06 09:00:00,45.22607421875
2001-09-07 09:00:00,44.52511978149414
2001-09-10 09:00:00,45.22607421875
2001-09-11 09:00:00,44.87593460083008
2001-09-12 09:00:00,44.17430877685547
2001-09-13 09:00:00,41.36981201171875
2001-09-14 09:00:00,41.36981201171875
2001-09-17 09:00:00,38.915462493896484
2001-09-18 09:00:00,38.915462493896484
2001-09-19 09:00:00,38.915462493896484
2001-09-20 09:00:00,36.811920166015625
2001-09-21 09:00:00,35.760154724121094
2001-09-24 09:00:00,35.760154724121094
2001-09-25 09:00:00,34.56859588623047
2001-09-26 09:00:00,34.14788818359375
2001-09-27 09:00:00,33.6566162109375
2001-09-28 09:00:00,32.60484313964844
2001-10-01 09:00:00,32.60484313964844
2001-10-02 09:00:00,32.675411224365234
2001-10-03 09:00:00,31.69353675842285
2001-10-04 09:00:00,33.02555465698242
2001-10-05 09:00:00,33.23590850830078
2001-10-08 09:00:00,32.675411224365234
2001-10-09 09:00:00,34.49803161621094
2001-10-10 09:00:00,34.49803161621094
2001-10-11 09:00:00,36.811920166015625
2001-10-12 09:00:00,39.266273498535156
